Date,State,Rolling Avg Cases,Rolling Avg Deaths
2021-01-16,Kansas,1957.857142857143,50.57142857142857
2021-01-17,Kansas,1956.7142857142858,50.57142857142857
2021-01-18,Kansas,1728.2857142857142,38.57142857142857
2021-01-19,Kansas,1725.857142857143,38.714285714285715
2021-01-20,Kansas,1578.7142857142858,32.714285714285715
2021-01-21,Kansas,1595.5714285714287,31.428571428571427
2021-01-22,Kansas,1487.857142857143,12.0
2021-01-23,Kansas,1483.5714285714287,13.714285714285714
2021-01-24,Kansas,1483.5714285714287,13.714285714285714
2021-01-25,Kansas,1385.857142857143,13.857142857142858
2021-01-26,Kansas,1368.0,14.142857142857142
2021-01-27,Kansas,1316.7142857142858,19.142857142857142
2021-01-28,Kansas,1289.0,20.428571428571427
2021-01-29,Kansas,1144.5714285714287,25.857142857142858
2021-01-30,Kansas,1144.5714285714287,25.857142857142858
2021-01-31,Kansas,1146.0,25.857142857142858
2021-02-01,Kansas,1052.4285714285713,26.714285714285715
2021-02-02,Kansas,1061.5714285714287,26.285714285714285
2021-02-03,Kansas,914.0,25.285714285714285
2021-02-04,Kansas,909.4285714285714,25.285714285714285
2021-02-05,Kansas,990.1428571428571,46.0
2021-02-06,Kansas,990.1428571428571,46.0
2021-02-07,Kansas,989.5714285714286,46.0
2021-02-08,Kansas,919.8571428571429,55.42857142857143
2021-02-09,Kansas,904.5714285714286,55.42857142857143
2021-02-10,Kansas,864.0,58.285714285714285
2021-02-11,Kansas,864.5714285714286,58.285714285714285
2021-02-12,Kansas,665.1428571428571,37.57142857142857
2021-02-13,Kansas,665.1428571428571,37.57142857142857
2021-02-14,Kansas,666.4285714285714,37.57142857142857
2021-02-15,Kansas,640.5714285714286,29.857142857142858
2021-02-16,Kansas,641.4285714285714,29.857142857142858
2021-02-17,Kansas,564.8571428571429,31.142857142857142
2021-02-18,Kansas,565.5714285714286,31.857142857142858
2021-02-19,Kansas,665.5714285714286,35.714285714285715
2021-02-20,Kansas,685.7142857142857,35.714285714285715
2021-02-21,Kansas,683.5714285714286,35.714285714285715
2021-02-22,Kansas,623.2857142857143,33.857142857142854
2021-02-23,Kansas,618.4285714285714,33.857142857142854
2021-02-24,Kansas,589.0,29.0
2021-02-25,Kansas,583.5714285714286,28.285714285714285
2021-02-26,Kansas,418.42857142857144,17.285714285714285
2021-02-27,Kansas,398.2857142857143,17.285714285714285
2021-02-28,Kansas,398.2857142857143,17.285714285714285
2021-03-01,Kansas,366.14285714285717,14.285714285714286
2021-03-02,Kansas,367.85714285714283,14.285714285714286
2021-03-03,Kansas,312.42857142857144,13.142857142857142
2021-03-04,Kansas,310.14285714285717,13.142857142857142
2021-03-05,Kansas,299.85714285714283,11.0
2021-03-06,Kansas,300.2857142857143,11.0
2021-03-07,Kansas,300.2857142857143,11.0
2021-03-08,Kansas,295.2857142857143,10.428571428571429
2021-03-09,Kansas,294.7142857142857,10.428571428571429
2021-03-10,Kansas,297.57142857142856,5.0
2021-03-11,Kansas,297.7142857142857,5.0
2021-03-12,Kansas,257.2857142857143,1.7142857142857142
2021-03-13,Kansas,257.42857142857144,1.7142857142857142
2021-03-14,Kansas,257.42857142857144,1.7142857142857142
2021-03-15,Kansas,233.0,2.7142857142857144
2021-03-16,Kansas,235.28571428571428,2.7142857142857144
2021-03-17,Kansas,214.57142857142858,-2.0
2021-03-18,Kansas,212.0,-2.0
2021-03-19,Kansas,217.85714285714286,2.5714285714285716
2021-03-20,Kansas,217.28571428571428,2.5714285714285716
2021-03-21,Kansas,217.28571428571428,2.5714285714285716
2021-03-22,Kansas,209.71428571428572,2.142857142857143
2021-03-23,Kansas,213.57142857142858,2.142857142857143
2021-03-24,Kansas,210.14285714285714,6.285714285714286
2021-03-25,Kansas,211.57142857142858,6.285714285714286
2021-03-26,Kansas,212.42857142857142,7.0
2021-03-27,Kansas,212.42857142857142,7.0
2021-03-28,Kansas,212.42857142857142,7.0
2021-03-29,Kansas,220.14285714285714,7.428571428571429
2021-03-30,Kansas,216.28571428571428,7.428571428571429
2021-03-31,Kansas,203.28571428571428,4.571428571428571
2021-04-01,Kansas,202.57142857142858,4.571428571428571
2021-04-02,Kansas,203.85714285714286,5.857142857142857
2021-04-03,Kansas,203.85714285714286,5.857142857142857
2021-04-04,Kansas,203.85714285714286,5.857142857142857
2021-04-05,Kansas,192.28571428571428,3.5714285714285716
2021-04-06,Kansas,189.85714285714286,3.5714285714285716
2021-04-07,Kansas,202.85714285714286,2.7142857142857144
2021-04-08,Kansas,202.0,2.7142857142857144
2021-04-09,Kansas,197.28571428571428,0.8571428571428571
2021-04-10,Kansas,197.28571428571428,0.8571428571428571
2021-04-11,Kansas,197.28571428571428,0.8571428571428571
2021-04-12,Kansas,215.57142857142858,0.42857142857142855
2021-04-13,Kansas,212.85714285714286,0.42857142857142855
2021-04-14,Kansas,220.71428571428572,1.7142857142857142
2021-04-15,Kansas,219.28571428571428,1.7142857142857142
2021-04-16,Kansas,229.42857142857142,2.142857142857143
2021-04-17,Kansas,228.71428571428572,2.142857142857143
2021-04-18,Kansas,228.71428571428572,9.0
2021-04-19,Kansas,217.14285714285714,10.714285714285714
2021-04-20,Kansas,212.85714285714286,9.714285714285714
2021-04-21,Kansas,205.57142857142858,8.285714285714286
2021-04-22,Kansas,205.0,8.285714285714286
2021-04-23,Kansas,202.85714285714286,8.0
2021-04-24,Kansas,203.57142857142858,8.0
2021-04-25,Kansas,203.57142857142858,1.1428571428571428
2021-04-26,Kansas,213.57142857142858,0.7142857142857143
2021-04-27,Kansas,218.0,1.7142857142857142
2021-04-28,Kansas,225.71428571428572,2.7142857142857144
2021-04-29,Kansas,225.85714285714286,2.7142857142857144
2021-04-30,Kansas,238.42857142857142,2.2857142857142856
2021-05-01,Kansas,238.42857142857142,2.2857142857142856
2021-05-02,Kansas,239.14285714285714,2.2857142857142856
2021-05-03,Kansas,243.14285714285714,2.7142857142857144
2021-05-04,Kansas,243.42857142857142,2.7142857142857144
2021-05-05,Kansas,222.71428571428572,2.857142857142857
2021-05-06,Kansas,222.28571428571428,2.857142857142857
2021-05-07,Kansas,203.42857142857142,4.714285714285714
2021-05-08,Kansas,203.42857142857142,4.714285714285714
2021-05-09,Kansas,202.71428571428572,4.714285714285714
2021-05-10,Kansas,181.42857142857142,4.285714285714286
2021-05-11,Kansas,181.14285714285714,4.285714285714286
2021-05-12,Kansas,169.14285714285714,4.285714285714286
2021-05-13,Kansas,174.14285714285714,4.285714285714286
2021-05-14,Kansas,162.71428571428572,3.0
2021-05-15,Kansas,162.71428571428572,3.0
2021-05-16,Kansas,162.71428571428572,3.0
2021-05-17,Kansas,164.42857142857142,3.0
2021-05-18,Kansas,165.71428571428572,2.857142857142857
2021-05-19,Kansas,179.28571428571428,2.5714285714285716
2021-05-20,Kansas,177.57142857142858,2.5714285714285716
2021-05-21,Kansas,181.28571428571428,1.8571428571428572
2021-05-22,Kansas,181.42857142857142,1.8571428571428572
2021-05-23,Kansas,181.42857142857142,1.8571428571428572
2021-05-24,Kansas,166.0,2.0
2021-05-25,Kansas,164.57142857142858,2.142857142857143
2021-05-26,Kansas,143.28571428571428,1.4285714285714286
2021-05-27,Kansas,140.14285714285714,1.4285714285714286
2021-05-28,Kansas,116.42857142857143,3.142857142857143
2021-05-29,Kansas,116.28571428571429,3.142857142857143
